workload,workload_kind,mode,do_sort,use_morton,block_size,metrics_block_size,run,cycles,parse_ms,exec_ms,ms_per_cycle,total_ms,parse_allocs,exec_allocs,final_count,pre_hot,pre_warm,pre_cold,pre_free,pre_mean_edge_dist,pre_p95_edge_dist,pre_block_local_pct,post_hot,post_warm,post_cold,post_free,post_mean_edge_dist,post_p95_edge_dist,post_block_local_pct
expr_small,expr,bsp-morton,True,True,0,256,2,3,20.294411000577384,6.688915998893208,2.229638666297736,26.98332699947059,5,0,7,1,0,5,65530,1.5,2.6999999999999993,1.0,0,0,7,65529,2.3333333333333335,4.6,1.0
expr_small,expr,bsp-block256,True,False,256,256,0,3,17.30028699967079,34.095426999556366,11.365142333185455,51.395713999227155,5,0,7,1,0,5,65530,1.5,2.6999999999999993,1.0,0,0,7,65529,2.3333333333333335,4.6,1.0
expr_small,expr,bsp-block256,True,False,256,256,1,3,24.24410200001148,48.87057099949743,16.29019033316581,73.11467299950891,5,0,7,1,0,5,65530,1.5,2.6999999999999993,1.0,0,0,7,65529,2.3333333333333335,4.6,1.0
expr_small,expr,bsp-block256,True,False,256,256,2,3,35.221677000663476,63.71583100008138,21.23861033336046,98.93750800074486,5,0,7,1,0,5,65530,1.5,2.6999999999999993,1.0,0,0,7,65529,2.3333333333333335,4.6,1.0
expr_small,expr,bsp-morton-block256,True,True,256,256,0,3,30.813442001090152,67.86732299951836,22.622440999839455,98.68076500060852,5,0,7,1,0,5,65530,1.5,2.6999999999999993,1.0,0,0,7,65529,2.3333333333333335,4.6,1.0
expr_small,expr,bsp-morton-block256,True,True,256,256,1,3,35.94809899914253,75.25959000122384,25.086530000407947,111.20768900036637,5,0,7,1,0,5,65530,1.5,2.6999999999999993,1.0,0,0,7,65529,2.3333333333333335,4.6,1.0
expr_small,expr,bsp-morton-block256,True,True,256,256,2,3,37.942803999612806,67.97933599955286,22.65977866651762,105.92213999916567,5,0,7,1,0,5,65530,1.5,2.6999999999999993,1.0,0,0,7,65529,2.3333333333333335,4.6,1.0
expr_reuse,expr,baseline,,,,256,0,1,30.105551000815467,1.1757569991459604,1.1757569991459604,31.281307999961427,5,0,7,,,,,,,,,,,,,,
expr_reuse,expr,baseline,,,,256,1,1,42.55765200105088,1.457418000427424,1.457418000427424,44.01507000147831,5,0,7,,,,,,,,,,,,,,
expr_reuse,expr,baseline,,,,256,2,1,34.45768100027635,1.3133200009178836,1.3133200009178836,35.771001001194236,5,0,7,,,,,,,,,,,,,,
